,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,2022-07-26,2022-07-31,2022-08-05,2022-08-10,2022-08-15,2022-08-20,2022-08-25,2022-08-30,2022-09-04,2022-09-19,2022-09-24,2022-09-29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.33,1.22,1.22,1.22,1.22,1.49,1.72,1.72
1,1.93,1.93,1.94,1.94,1.94,2.2300000000000004,2.2300000000000004,2.8100000000000005,20.480000000000004,26.280000000000005,54.080000000000005,54.13,54.29,54.29,55.89,64.19,64.19
2,19.12,19.14,29.57,37.22,41.07,58.370000000000005,58.39000000000001,60.040000000000006,74.38000000000001,81.09,106.37,106.92,119.93,119.93,133.45000000000002,151.78000000000003,151.82000000000002
3,4.94,4.94,14.080000000000002,20.31,20.46,23.01,23.01,23.24,27.53,32.86,33.53,33.53,33.7,33.7,34.49,34.93,34.93
4,0.1,0.24,0.25,0.43,0.47,0.47,0.47,10.57,13.13,15.740000000000002,23.49,25.340000000000003,25.690000000000005,25.690000000000005,28.870000000000005,32.03,34.61
5,0.0,0.0,0.0,0.0,0.0,1.22,1.22,1.84,71.01,84.43,114.6,114.6,118.05,118.05,129.72,134.0,134.0
6,0.0,0.0,0.0,0.0,0.0,8.540000000000001,8.540000000000001,9.79,50.35,57.03,93.3,93.3,96.25,96.25,96.8,97.92000000000002,97.92000000000002
7,0.17,0.17,0.98,2.49,3.73,35.24,35.24,36.92,39.43,41.99,85.72,85.96,87.57,87.57,102.5,112.83,112.83
8,5.24,5.24,7.65,8.49,9.65,24.130000000000003,24.130000000000003,25.640000000000004,26.890000000000004,43.63000000000001,84.93,85.25,100.32,100.32,106.32,122.64,122.79999999999998
9,0.67,1.14,8.81,10.72,11.56,12.04,12.04,21.840000000000003,29.24,38.75,120.25,120.75,233.87,233.87,261.62,273.33,273.33
10,0.6900000000000001,0.76,4.640000000000001,5.450000000000001,5.550000000000001,7.960000000000001,7.960000000000001,9.19,11.990000000000002,12.490000000000002,16.240000000000002,16.240000000000002,19.97,19.97,34.160000000000004,44.0,44.0
11,1.21,1.6,4.78,7.24,7.7,8.77,8.77,11.25,11.32,12.6,15.56,15.7,17.56,33.1,33.14,35.65,35.65
12,1.64,1.64,8.96,15.94,16.64,20.21,22.29,52.6,99.29,123.55,265.99,286.37,297.44,297.44,324.29,367.01,367.01
13,2.98,3.18,5.71,6.15,6.6000000000000005,6.65,7.510000000000001,15.61,26.98,30.270000000000003,57.61,68.41,70.25999999999999,70.25999999999999,76.63,79.83,80.26
14,1.11,1.11,3.140000000000001,3.4600000000000004,4.470000000000001,4.48,4.49,4.680000000000001,4.930000000000001,5.880000000000001,18.700000000000003,21.320000000000004,21.320000000000004,21.320000000000004,21.330000000000005,22.370000000000005,22.370000000000005
15,7.300000000000001,7.300000000000001,14.07,15.77,21.38,61.63,83.49,130.29,143.37,152.77,181.89,182.3,207.26,207.26,266.38,281.57,281.57
