,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
33000,0,ID1500,2022,2022-01-28,0.0,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33001,1,ID1500,2022,2022-02-01,0.0,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33002,2,ID1500,2022,2022-02-06,0.0,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33003,3,ID1500,2022,2022-02-16,0.74,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33004,4,ID1500,2022,2022-02-21,0.78,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33005,5,ID1500,2022,2022-02-26,5.45,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33006,6,ID1500,2022,2022-03-03,5.45,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33007,7,ID1500,2022,2022-03-08,6.08,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33008,8,ID1500,2022,2022-03-13,6.08,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33009,9,ID1500,2022,2022-03-18,6.08,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33010,10,ID1500,2022,2022-03-23,6.08,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33011,11,ID1500,2022,2022-03-28,6.08,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33012,12,ID1500,2022,2022-04-02,6.18,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
33013,13,ID1500,2022,2022-04-07,6.21,16.341221465867058,-16.15127798382588,104.2,7.959999999999999,2022-02-26,"POLYGON ((-16.155922710753952 16.336699513746563, -16.155975585854044 16.34569234491249, -16.146633047663887 16.34574336421124, -16.146580599668642 16.336750503452624, -16.155922710753952 16.336699513746563))"
